name,date,artist,album,youtube,note,introduction
快樂天堂,1986,群星,,https://www.youtube.com/watch?v=il_Yd1irRgE,,當時的台北市政府計畫將市立動物園，從圓山遷移到木柵，於是舉辦了「動物搬遷大遊行」的活動，當時的本土龍頭的唱片公司，滾石唱片集合了旗下所有歌手，不論是未正式納入滾石旗下的陳淑樺，或是尚未發片的周華健，都一起加入了這個新鮮的企畫。他們決定幫「動物園搬家」這件事，錄製一首主題曲，也就是當時造成轟動的話題歌曲《快樂天堂》，這首歌的歌詞意境描述一個神秘並專屬於所有動物，讓牠們可以快樂生活的世外桃源，就像是人間天堂一樣。在動物園正式搬家當天，沿途夾道參觀的民眾，居然達到數萬人的盛況，這首歌曲自然也大受歡迎。
海上花,1986,甄妮,,https://www.youtube.com/watch?v=UAV-DBFZT_k,,羅大佑離台赴港發展，創設「音樂工廠」，為楊凡導演的電影《海上花》創作同名主題曲，擔任首唱的是實力派女唱將甄妮，這首歌曲亦在同一年被收錄在她的同名個人專輯中。蘊含著迷人東方古典氣質的《海上花》，幾乎囊括了當年所有的港台音樂獎項，不僅成為了羅大佑創作歷程上一個重要的里程碑，也是甄妮歌唱事業上的一個新高峰。
無言的結局,1986,林淑蓉、李茂山,,https://www.youtube.com/watch?v=Al8DUsAcXx4,,
京華煙雲,1987,李建復、潘越雲,,https://www.youtube.com/watch?v=kWJyyaizGVw,,
心的方向,1987,周華健,,https://www.youtube.com/watch?v=RjyuyqfmPmg,,
大約在冬季,1987,齊秦,,https://www.youtube.com/watch?v=ZYkxIi8H13w,,
庭院深深,1987,江淑娜,,https://www.youtube.com/watch?v=rZ9_nAoSFHQ,,
年輕不要留白,1987,城市少女,,https://www.youtube.com/watch?v=3ynttICNJKI,,
猜一猜,1987,紅唇族,,https://www.youtube.com/watch?v=e15oI_orudY,,
心情,1987,鄭怡,,https://www.youtube.com/watch?v=oJy6o0kV1Rs,,
我要的不多,1987,馬兆駿,,https://www.youtube.com/watch?v=NNvWOwxff4g,,
路隨人茫茫,1987,張國榮,,https://www.youtube.com/watch?v=d5qsoShXODY,,隨著電影《倩女幽魂》在台灣熱賣，黃霑作詞作曲，張國榮演唱的主題曲《路隨人茫茫》和葉倩文演唱的插曲《黎明不要來》也跟著受到歡迎。
報告班長,1987,庾澄慶,,https://www.youtube.com/watch?v=VwoISKyoYYQ,,庾澄慶的《報告班長》是軍教片《報告班長》的主題曲，由朱延平導演，庹宗華飾演魔鬼班長的《報告班長》系列電影在當時造成大轟動，影響所致台灣的男孩當時的第一志願，幾乎都是報考軍校。
睡吧！我的愛,1987,許景淳,,https://www.youtube.com/watch?v=E2cfOKjSSbk,,由鄧育昆編劇、製作的國語連續劇《玫瑰人生》於1987年6月29日至同年8月21日在台視頻道首播，全38集。這部電視劇是香港演員顧冠忠在台灣的成名作，劇情以民初日本侵略中國的30年代為背景，描述顧冠忠飾演的日本軍官佐藤愛上了徐淑媛飾演的貧困少女玫瑰，而另一女主角席曼寧則在片中飾演喜愛佐藤的日籍冷豔美人。《玫瑰人生》全劇情節懸疑、高潮迭起、對白雋永，對人性有著極為深刻的描述，著實是一齣精緻的好戲；而許景淳穿透力十足的雋永歌聲，更將亂世兒女的愛情化做了永恆。同樣由許景淳演唱的《睡吧！我的愛》這首片尾曲也相當受歡迎。
一場遊戲一場夢,1987,王傑,,https://www.youtube.com/watch?v=B2S1EngkjQk,,
人生就是戲,1987,蔡琴,,https://www.youtube.com/watch?v=fs6SDj8aiTE,,
講什麼山盟海誓,1987,黃乙玲,,https://www.youtube.com/watch?v=XM96xW1cum0,,
愛要怎麼說,1988,伍思凱,,https://www.youtube.com/watch?v=8OxwfNrHaIc,,
我的未來不是夢,1988,張雨生,,https://www.youtube.com/watch?v=lTxZmhAoSGU,,
天天想你,1988,張雨生,,https://www.youtube.com/watch?v=qSslpWSSTLg,,
愛人同志,1988,羅大佑,,https://www.youtube.com/watch?v=5ZWOKKgsx-4,,
戀曲1990,1988,羅大佑,,https://www.youtube.com/watch?v=GeNIpOsmEwA,,
你的樣子,1988,羅大佑,,https://www.youtube.com/watch?v=YAZSNlgnm7Y,,
忘了你忘了我,1988,王傑,,https://www.youtube.com/watch?v=y5bUCGzw6tY,,
你是我胸口永遠的痛,1988,王傑、葉歡,,https://www.youtube.com/watch?v=hzWJHOvB_R4,,
馬不停蹄的憂傷,1988,黃舒駿,,https://www.youtube.com/watch?v=YNnAUJ5bDzI,,
愛拚才會贏,1988,葉啟田,,https://www.youtube.com/watch?v=Pf3Ecmnonik,,
跟往事乾杯,1988,姜育恒,,https://www.youtube.com/watch?v=rkXN7XmhZcE,,
情字這條路,1988,潘越雲,,https://www.youtube.com/watch?v=f10_2zSpaYY,,
我很醜，可是我很溫柔,1988,趙傳,,https://www.youtube.com/watch?v=EdsWaWQhZ08,,
妳知道我在等你嗎,1989,張洪量,,https://www.youtube.com/watch?v=jVvTtuagceY,,
心愛妹妹的眼睛,1989,張洪量,,https://www.youtube.com/watch?v=890UFVzrltI,,
青蘋果樂園,1989,小虎隊,,https://www.youtube.com/watch?v=cBzng1trRE0,,
歷史的傷口,1989,群星,,https://www.youtube.com/watch?v=qhiOcIyhSiU,,
其實你不懂我的心,1989,童安格,,https://www.youtube.com/watch?v=ttiuVmonjTw,,
是否我真的一無所有,1989,王傑,,https://www.youtube.com/watch?v=bDgWkgQ1oXA,,
夢醒時分,1989,陳淑樺,,https://www.youtube.com/watch?v=HN-Ze9vs6y0,,《夢醒時分》收錄於陳淑樺發行的《跟你說聽你說》專輯，《跟你說聽你說》是張完整度極高的唱片，在李宗盛、黃建昌與李正帆三知名音樂人合作之下，成為臺灣音樂史第一張破百萬銷量的專輯唱片。這是陳淑樺《跟你說聽你說》專輯文案上的句子，說明了整張專輯的訴求方向是現代都會女子的性情及愛情觀。如《夢醒時分》中所言「早知道傷心總是難免的／你又何苦一往情深／因為愛情是難捨難分／何必在意那一點點溫存／要知道傷心總是難免的／在每一個夢醒時分／有些事情你現在不必問／有些人你永遠不必等」。這段歌詞所展現對愛情的看法：獨立、自信、洒脫，與以往情歌常表現的自憐哀傷相當不同，十分符合現代人的生活態度，在當時引起很大的共鳴，締造了七十萬張的驚人銷售量，並成功地將陳淑樺塑造成都市女子心聲的代言人。
日安·我的愛,1989,黃鶯鶯,,https://www.youtube.com/watch?v=RDwBK548PRo,,
讓我一次愛個夠,1989,庾澄慶,,https://www.youtube.com/watch?v=XSq8nZy5caQ,,
戀愛症候群,1989,黃舒駿,,https://www.youtube.com/watch?v=aojqtPRS-T8,,
愛到最高點,1989,伍思凱,,https://www.youtube.com/watch?v=G13tNRsjllo,,
不是我不小心,1989,張鎬哲,,https://www.youtube.com/watch?v=eu3fOapcGog,,
最後一次溫柔,1989,陳昇,,https://www.youtube.com/watch?v=eZDy3oBH0J8,,
我是不是你最疼愛的人,1989,潘越雲,,https://www.youtube.com/watch?v=JXJjLDm-iVY,,
讓我忘記你的臉,1989,張信哲,,https://www.youtube.com/watch?v=bkRH2L-r4Wc,,
一無所有,1989,崔健,,https://www.youtube.com/watch?v=m7uk0-vlpP0,,
我終於失去了你,1989,趙傳,,https://www.youtube.com/watch?v=67p_MAZUnvE,,
在你背影守候,1989,辛曉琪,,https://www.youtube.com/watch?v=7wPzNFCR8Lo,,
抓狂歌,1989,黑名單工作室,,https://www.youtube.com/watch?v=u719i12GW6E,,《抓狂歌》是台灣「黑名單工作室」推出的第一張音樂專輯。由於這張專輯挑戰傳統的強烈企圖心，一方面幾乎完全以台語發聲，另一方面卻又完全不同於之前市場上流行的台語歌，而是以搖滾、饒舌的音樂方式來呈現，使得這張專輯在台灣流行音樂史上的地位獨樹一幟，被多數評論家視為是九十年代後發軔之「新台語歌運動」的第一聲春雷。「你問過自己嗎？當你熟背中外史地，你對台灣的歷史瞭解多少？當你對國語、西洋歌曲如數家珍時，可曾對母語歌謠多一些關注？當台灣現階段處於極度動盪中，你想過自己在這個時代所扮演的角色嗎？你知道台灣的歷史，台灣的歌在哪嗎？」——這是《抓狂歌》文宣刊頭的一段文字，至今讀來依舊鏗鏘。1989年底，由王明輝、陳主惠與司徒松合組的黑名單工作室，首先在主流唱片公司密集的台北，進行了一場持續至今的地下音樂革命。他們找來陳明章和林暐哲等人，共同製作出《抓狂歌》這張堪稱台語歌曲里程碑的經典專輯。《抓狂歌》專輯中，由王明輝詞曲主導的《台北帝國》、《民主阿草》和《計程車》，在曲式方面結合了黑人雷鬼音樂、饒舌歌和台灣「雜唸仔」的風格，藉此鋪陳出現代台灣社會的各種面猊，不但極具原創力，精神上也最貼近黑人Rap的形式——作為中下階層人民控訴社會不公不義的工具。而由陳明章創作，具傳統民謠色彩的《慶端陽》、《新莊街》等現代台灣歌謠，不但汲取老戲曲的養分，更重現了台語歌親切又富省思能力的人文精神。整張專輯編曲的層次豐富、取材寬廣(象《民主阿草》的編曲結尾部分是取材自瓦格納歌劇)，在流行音樂作品中殊為少見。「這是台語人、歌、文化驚人突破！」李宗盛如是說。樂評人翁嘉銘則認為：「《抓狂歌》專輯的出版，可視為台灣『新民謠』崛起的先端。」
向前走,1990,林強,,https://www.youtube.com/watch?v=gD14iiXq7Xw,,
愛情宣言,1990,齊秦,,https://www.youtube.com/watch?v=6a1WFYbiZ6U,,
青梅竹馬,1990,周治平,,https://www.youtube.com/watch?v=9BzKj5HOOCE,,
滄海一聲笑,1990,黃霑,,https://www.youtube.com/watch?v=j0K27MndYBk,,
你怎麼捨得我難過,1990,黃品源,,https://www.youtube.com/watch?v=oMDj9L44LZM,,
讓每個人都心碎,1990,黃大煒,,https://www.youtube.com/watch?v=Hmd3kx4ozwo,,
愛上一個不回家的人,1990,林憶蓮,,https://www.youtube.com/watch?v=WB0A5m6BAHs,,
不想你也難,1990,張清芳,,https://www.youtube.com/watch?v=4HiRBoWkPkU,,
一生守候,1990,陳淑樺,,https://www.youtube.com/watch?v=pQ-JP3pSOwc,,標題曲《一生守候》雖然充滿著憂傷、憂鬱的氣氛，哀怨的吉他貫穿始終，但陳淑樺用心演繹，一曲終了卻讓聽眾感受到了溫馨與希望的存在。
情關,1990,陳淑樺,,https://www.youtube.com/watch?v=To2Mcur-WzU,,音樂才子小蟲所作的《情關》，這首曲子也是電影《末代兒女情》的主題曲，整首作品充滿著古典氣質。
滾滾紅塵,1990,陳淑樺,,https://www.youtube.com/watch?v=qVm3GdOd2P8,,
我是一隻小小鳥,1990,趙傳,,https://www.youtube.com/watch?v=JYUDfIFIeAo,,
哭砂,1990,黃鶯鶯,,https://www.youtube.com/watch?v=p4YkHQrPt2I,,〈哭砂〉的作曲者熊美玲以此首歌曲獲得第三屆金曲獎最佳作曲人獎，而此曲也獲得了最佳年度歌曲獎的提名。 《哭砂》這首歌之後被二十多位歌手翻唱。 「哭砂」一曲，以無樂器清唱的開場撩動人心成了當時日漸流行的KTV中的熱門點唱曲，民生報還以頭條斗大標題寫者「鶯鶯臨別一擊哭倒四十萬顆心」因為這也是黃鶯鶯與飛碟的最後一張國語片約。
追得過一切,1990,蘇慧倫,,https://www.youtube.com/watch?v=zh1AKJBk3Lk,,
喜歡有什麼不可以,1990,李明依,,,, 李明依發行第二張唱片專輯《不是演戲》，收錄電視廣告主題曲《喜歡有什麼不可以》；歌詞中“只要是我喜歡，有什麼不可以”唱出青少年的心聲，深受到青少年喜愛，並成為流行的口號，但引起台灣教育文化界的爭議。
北風,1990,張鎬哲,,https://www.youtube.com/watch?v=7TxBX7xh1jo,,
限時專送ABC,1990,草蜢,,https://www.youtube.com/watch?v=DDDQNc9RtSc,,
